transaction_id,customer_id,amount,merchant_category,country,transaction_hour,device_type,previous_transaction_minutes,transactions_last_24h,customer_age,is_fraud
TXN000001,CUST01127,8.75,retail,IN,8,desktop,407.19,4,18,0
TXN000002,CUST01460,3.75,online,ET,10,mobile,260.0,5,60,0
TXN000003,CUST00861,16.45,entertainment,GB,2,mobile,67.6,3,31,0
TXN000004,CUST01295,38.93,restaurant,US,4,mobile,78.53,3,19,0
TXN000005,CUST01131,36.7,electronics,US,8,desktop,37.78,3,25,0
TXN000006,CUST01096,38.45,retail,GB,9,desktop,312.77,4,28,0
TXN000007,CUST01045,8.08,grocery,US,5,tablet,20.39,2,37,0
TXN000008,CUST00122,73.93,online,ET,5,desktop,420.35,1,61,0
TXN000009,CUST00467,42.08,travel,FR,10,desktop,165.44,6,34,0
TXN000010,CUST01239,68.93,fuel,US,16,mobile,159.99,3,70,0
TXN000011,CUST00331,4.99,restaurant,DE,1,desktop,327.43,5,29,0
TXN000012,CUST01483,45.22,restaurant,US,8,mobile,198.22,4,37,0
TXN000013,CUST00088,10.1,retail,US,23,desktop,65.29,3,27,0
TXN000014,CUST01397,22.26,online,US,17,mobile,77.41,3,38,0
TXN000015,CUST01124,56.51,grocery,NG,4,mobile,34.2,2,20,1
TXN000016,CUST00872,36.27,restaurant,US,20,desktop,112.27,2,21,0
TXN000017,CUST00131,14.13,retail,US,5,tablet,21.01,2,41,0
TXN000018,CUST01333,33.32,restaurant,US,3,desktop,190.54,2,71,0
TXN000019,CUST00770,7.16,online,US,8,desktop,33.37,2,54,0
TXN000020,CUST00344,104.61,electronics,US,4,desktop,359.03,3,44,0
TXN000021,CUST01438,26.97,retail,US,3,mobile,216.99,5,65,0
TXN000022,CUST00806,101.35,fuel,ET,8,mobile,399.8,3,48,0
TXN000023,CUST00386,19.56,online,US,17,tablet,16.39,2,27,0
TXN000024,CUST01216,19.62,grocery,CA,10,tablet,288.36,5,21,0
TXN000025,CUST00956,15.42,retail,US,15,mobile,382.86,4,29,0
TXN000026,CUST00277,79.53,travel,IN,1,mobile,8.21,5,32,0
TXN000027,CUST01185,16.29,retail,US,15,desktop,1257.62,7,43,0
TXN000028,CUST00460,63.09,travel,AE,18,desktop,64.37,3,51,0
TXN000029,CUST01338,22.59,fuel,FR,9,mobile,42.82,2,18,0
TXN000030,CUST00022,4.59,grocery,DE,3,mobile,96.48,2,69,0
TXN000031,CUST00253,18.72,fuel,AE,11,tablet,1.56,4,62,1
TXN000032,CUST00748,10.18,electronics,US,8,mobile,390.73,3,35,0
TXN000033,CUST00857,34.26,electronics,GB,12,mobile,56.28,2,26,0
TXN000034,CUST00475,10.07,grocery,US,4,mobile,132.71,3,64,0
TXN000035,CUST01083,83.59,grocery,ET,1,mobile,175.86,9,67,0
TXN000036,CUST00511,30.23,restaurant,IN,2,mobile,281.85,1,51,0
TXN000037,CUST01500,27.73,restaurant,NG,7,mobile,51.83,5,71,0
TXN000038,CUST00700,63.81,retail,US,5,mobile,227.31,7,71,0
TXN000039,CUST00976,86.83,electronics,US,4,desktop,22.53,4,69,0
TXN000040,CUST00190,32.46,fuel,US,3,mobile,219.27,1,68,0
TXN000041,CUST00958,15.31,grocery,US,19,mobile,453.05,2,47,0
TXN000042,CUST00687,5.62,online,US,15,mobile,15.99,3,21,0
TXN000043,CUST00958,16.68,travel,US,7,mobile,22.34,9,70,0
TXN000044,CUST00563,17.86,retail,IN,11,mobile,146.65,2,41,0
TXN000045,CUST01268,36.86,entertainment,CA,21,desktop,8.55,1,67,0
TXN000046,CUST00832,23.45,travel,CA,4,mobile,37.35,1,63,0
TXN000047,CUST01155,65.89,fuel,US,4,mobile,37.97,1,62,0
TXN000048,CUST00647,17.94,restaurant,GB,21,desktop,118.14,1,43,0
TXN000049,CUST00021,31.28,online,IN,12,mobile,51.42,7,71,0
TXN000050,CUST00841,108.2,grocery,CA,10,mobile,116.16,2,24,0
TXN000051,CUST00167,46.61,electronics,US,10,desktop,132.56,2,63,0
TXN000052,CUST01298,31.19,restaurant,US,18,desktop,236.11,3,68,0
TXN000053,CUST00388,18.14,fuel,IN,6,desktop,525.35,2,62,0
TXN000054,CUST00601,17.58,travel,US,16,desktop,126.12,5,38,0
TXN000055,CUST00316,14.15,fuel,CA,4,tablet,78.93,2,62,0
TXN000056,CUST00014,19.28,online,US,5,desktop,53.88,3,31,0
TXN000057,CUST00242,70.5,grocery,US,17,mobile,181.25,2,67,0
TXN000058,CUST00777,26.53,fuel,NG,17,desktop,515.39,2,68,0
TXN000059,CUST01370,8.59,entertainment,US,8,mobile,260.41,4,51,0
TXN000060,CUST00565,194.06,retail,US,17,desktop,41.54,2,27,0
TXN000061,CUST00898,45.6,online,US,18,mobile,402.8,2,28,0
TXN000062,CUST01364,8.11,fuel,IN,16,mobile,239.39,8,62,0
TXN000063,CUST00092,21.29,fuel,US,8,mobile,24.64,4,66,0
